0.jpg,norm
1.jpg,norm
2.jpg,defect2
3.jpg,norm
4.jpg,defect10
5.jpg,norm
6.jpg,defect9
7.jpg,defect10
8.jpg,norm
9.jpg,defect3
10.jpg,norm
11.jpg,defect6
12.jpg,norm
13.jpg,norm
14.jpg,norm
15.jpg,defect7
16.jpg,defect2
17.jpg,norm
18.jpg,defect6
19.jpg,defect11
20.jpg,norm
21.jpg,defect11
22.jpg,defect1
23.jpg,norm
24.jpg,defect4
25.jpg,defect4
26.jpg,norm
27.jpg,defect5
28.jpg,defect10
29.jpg,defect5
30.jpg,defect5
31.jpg,defect11
32.jpg,norm
33.jpg,defect10
34.jpg,defect5
35.jpg,defect10
36.jpg,defect2
37.jpg,defect11
38.jpg,defect11
39.jpg,defect11
40.jpg,defect2
41.jpg,defect1
42.jpg,defect5
43.jpg,norm
44.jpg,defect5
45.jpg,defect2
46.jpg,norm
47.jpg,norm
48.jpg,defect5
49.jpg,defect10
50.jpg,defect4
51.jpg,defect11
52.jpg,defect5
53.jpg,norm
54.jpg,norm
55.jpg,norm
56.jpg,defect2
57.jpg,defect5
58.jpg,defect6
59.jpg,defect10
60.jpg,defect1
61.jpg,norm
62.jpg,defect7
63.jpg,defect7
64.jpg,defect8
65.jpg,defect10
66.jpg,defect5
67.jpg,defect11
68.jpg,defect2
69.jpg,defect6
70.jpg,defect2
71.jpg,defect4
72.jpg,norm
73.jpg,norm
74.jpg,norm
75.jpg,norm
76.jpg,defect5
77.jpg,defect6
78.jpg,defect8
79.jpg,defect5
80.jpg,norm
81.jpg,defect7
82.jpg,defect5
83.jpg,defect4
84.jpg,defect4
85.jpg,defect3
86.jpg,defect5
87.jpg,defect11
88.jpg,norm
89.jpg,norm
90.jpg,defect3
91.jpg,defect10
92.jpg,norm
93.jpg,norm
94.jpg,norm
95.jpg,defect7
96.jpg,norm
97.jpg,norm
98.jpg,norm
99.jpg,defect5
100.jpg,defect5
101.jpg,defect10
102.jpg,defect10
103.jpg,defect10
104.jpg,defect11
105.jpg,norm
106.jpg,defect5
107.jpg,norm
108.jpg,defect3
109.jpg,defect10
110.jpg,defect4
111.jpg,defect5
112.jpg,norm
113.jpg,norm
114.jpg,defect5
115.jpg,defect6
116.jpg,defect1
117.jpg,defect11
118.jpg,defect6
119.jpg,defect10
120.jpg,defect5
121.jpg,defect4
122.jpg,defect11
123.jpg,defect10
